event_id,avg_bbox_size,step_count
114_2023-11-24_out_10,1543.6666666666667,6
114_2023-11-24_out_11,1530.5,8
114_2023-11-24_in_12,1647.25,8
114_2023-11-24_in_13,2031.142857142857,7
114_2023-11-22_out_21,1695.4285714285713,7
114_2023-11-22_out_23,1463.3333333333333,12
114_2023-11-22_out_24,1485.7272727272727,11
114_2023-11-22_out_25,1586.75,8
114_2023-11-22_out_26,1597.1666666666667,6
114_2023-11-22_out_27,1558.0,2
114_2023-11-22_out_28,1851.4705882352941,17
114_2023-11-22_in_20,1547.0,9
114_2023-11-22_in_21,1452.6153846153845,13
114_2023-11-21_in_10,1499.25,8
114_2023-11-21_in_8,1939.125,8
114_2023-11-21_in_9,1569.75,8
114_2023-11-16_in_22,1631.375,8
114_2023-11-16_in_23,1580.5,16
114_2023-11-15_in_8,1543.7777777777778,9
114_2023-11-15_in_9,1996.0,12
114_2023-11-10_in_12,1392.25,8
114_2023-11-10_in_13,1469.0,7
114_2023-11-10_in_14,1399.7857142857142,14
114_2023-11-08_in_6,1431.7777777777778,9
114_2023-11-08_in_7,1591.875,8
114_2023-11-07_out_9,1837.0,6
114_2023-11-07_in_11,1288.125,16
114_2023-11-07_in_12,1517.0,8
114_2023-11-04_out_12,1803.8,5
114_2023-11-03_in_5,1325.3333333333333,9
114_2023-11-02_in_18,1496.142857142857,7
114_2023-11-02_in_19,1297.909090909091,11
114_2023-11-01_in_11,1591.875,8
114_2023-11-01_in_12,1621.0,8
114_2023-10-27_out_16,1101.76,25
114_2023-10-27_in_17,1583.5714285714287,7
114_2023-10-27_in_18,1139.6944444444443,36
114_2023-10-26_out_32,1541.111111111111,9
114_2023-10-26_in_29,1440.625,8
114_2023-10-26_in_30,1788.3333333333333,6
114_2023-10-24_in_18,1464.4444444444443,9
114_2023-10-24_in_19,1568.6,15
114_2023-10-12_in_25,1019.0,3
114_2023-10-12_in_26,1429.3333333333333,6
114_2023-10-07_in_12,1287.7777777777778,9
114_2023-10-07_in_13,1196.3333333333333,9
114_2023-10-07_in_14,1944.357142857143,14
114_2023-10-06_in_19,1429.5555555555557,9
114_2023-10-06_in_20,1697.142857142857,7
114_2023-10-05_in_13,1588.75,8
114_2023-10-05_in_14,1702.0,8
114_2023-09-30_in_19,1881.857142857143,7
114_2023-09-30_in_20,1916.5555555555557,9
114_2023-09-29_in_23,1679.375,8
114_2023-09-28_in_20,1480.0,9
114_2023-09-28_in_21,1464.9,10
114_2023-09-27_in_25,1718.7142857142858,7
114_2023-09-26_out_19,861.4285714285714,7
114_2023-09-26_in_19,1525.3,10
114_2023-09-26_in_20,1630.1666666666667,12
114_2023-09-15_in_9,1363.5,4
114_2023-09-14_out_12,1762.0,2
114_2023-07-26_in_15,1604.2222222222222,9
114_2023-07-21_out_20,1641.4285714285713,7
114_2023-07-21_in_18,1220.1818181818182,11
114_2023-07-15_in_12,1530.2222222222222,9
114_2023-07-12_in_17,1477.5714285714287,7
114_2023-07-05_in_19,1615.8461538461538,13
114_2023-06-28_in_10,1448.25,8
114_2023-06-27_in_7,2078.4285714285716,7
114_2023-06-23_in_10,1632.6666666666667,9
114_2023-06-22_in_7,1504.5555555555557,9
114_2023-06-21_in_15,1661.875,8
114_2023-06-20_in_15,1387.2222222222222,9
114_2023-06-14_in_13,1376.6,10
114_2023-06-13_in_14,1440.75,8
114_2023-06-09_in_13,1544.5555555555557,9
114_2023-06-08_in_11,1549.1764705882354,17
114_2023-06-06_in_9,1410.125,8
114_2023-06-02_in_12,1770.888888888889,9
114_2023-06-01_in_12,1725.75,8
114_2023-05-31_in_20,1428.75,12
114_2023-05-30_in_14,1592.857142857143,7
114_2023-05-25_in_20,1470.6666666666667,9
114_2023-05-24_in_11,1626.25,8
114_2023-05-20_in_6,1522.0,8
114_2023-05-13_in_10,1656.7777777777778,9
114_2023-05-12_in_15,1595.375,8
114_2023-05-10_in_8,1368.0,10
114_2023-05-06_in_4,1630.9,10
114_2023-04-29_in_24,1605.3076923076924,13
114_2023-04-26_in_10,2120.0,1
114_2023-04-25_in_10,1351.0833333333333,12
114_2023-04-22_in_18,829.8,5
114_2023-04-21_in_7,1293.0,6
114_2023-04-20_in_13,897.0,5
114_2023-04-19_in_8,1137.8,5
114_2023-04-15_in_11,1025.5,6
114_2023-04-01_in_13,1364.2,5
114_2023-03-30_in_9,1290.4,5
100_2024-07-20_out_12,1514.7142857142858,7
100_2024-07-18_in_17,1449.9130434782608,46
100_2024-07-13_in_11,2094.037037037037,27
100_2024-07-11_out_20,1746.0,33
100_2024-07-11_out_21,1836.2222222222222,9
100_2024-07-11_in_22,1815.5882352941176,34
100_2024-07-04_out_14,1566.9032258064517,31
